song_name,song_artist,track_id,weeks,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
bassa sababa,netta,36hJ4qWU3bx0IqDPxxusg6,"['2/21/2019', '2/28/2019', '3/7/2019', '3/14/2019', '3/21/2019']","['eurovision', 'israeli pop']",0.716,0.774,3,-4.451,0,0.0843,0.0116,0,0.119,0.741,123.942
יאסו,"סטטיק, בן אל תבורי, עדן בן זקן, סטפן לגר",1XhmGf2ItpIcll24AeKZ6r,"['2/21/2019', '2/28/2019', '3/7/2019', '3/14/2019', '3/21/2019', '3/28/2019']","['israeli mediterranean', 'israeli pop']",0.795,0.787,11,-5.165,0,0.0864,0.147,0.00000187,0.4,0.507,97.037
סוודר,נוי פדלון,0G9ng0k0PVkiAAFDLOujiS,"['2/21/2019', '2/28/2019', '3/7/2019', '3/14/2019']",['israeli mediterranean'],0.6,0.438,7,-7.162,1,0.0457,0.746,0,0.147,0.22,127.788
באתי לחלום,נתן גושן,0fHqGVs897kRSCPiWBgiNc,"['2/21/2019', '2/28/2019', '3/7/2019']",['israeli pop'],0.363,0.72,5,-6.612,0,0.113,0.173,0,0.0822,0.376,171.863
קירות,איתי לוי,0ZFQYK9u8C1nGLXXb4y17W,"['2/21/2019', '2/28/2019']",['israeli mediterranean'],0.78,0.569,0,-7.822,0,0.068,0.395,0,0.184,0.5,123.03
הזוג הזה,מרגי,4wsc8OzliQP9P2ZiuevaBn,"['2/21/2019', '2/28/2019', '3/7/2019', '3/14/2019', '3/21/2019', '3/28/2019', '4/4/2019', '4/11/2019', '4/18/2019']","['israeli hip hop', 'israeli trap']",0.766,0.551,8,-10.247,0,0.0601,0.0865,0,0.0627,0.887,109.999
תגידי לי שטוב לך,עומר אדם,5USjMSf2G7LTsY0bvKHdT4,['2/21/2019'],"['israeli mediterranean', 'israeli pop', 'mizrahi']",0.607,0.503,2,-7.406,1,0.0703,0.446,0,0.173,0.473,135.606
הלב שלי,ישי ריבו,7556sPhMiUgR8bh0WakpcG,"['2/21/2019', '2/28/2019', '3/7/2019', '3/14/2019', '3/21/2019', '3/28/2019', '4/4/2019', '4/11/2019', '4/18/2019', '5/16/2019']",['israeli pop'],0.41,0.375,1,-7.013,0,0.0288,0.828,0.00000514,0.11,0.318,128.861
מה את מרגישה,עידן עמדי,2B9M3TbpXWZGupKfAoufUp,"['2/21/2019', '2/28/2019', '3/7/2019', '3/14/2019']",['israeli pop'],0.651,0.692,7,-7.276,0,0.115,0.831,0.0000269,0.27,0.703,122.049
בנאדם,אמיר דדון,0914KNPQ08ZV2wAT4NovtN,['2/21/2019'],"['classic israeli pop', 'israeli pop', 'israeli rock']",0.469,0.542,11,-7.536,1,0.0241,0.152,0.00078,0.107,0.261,81.3
