weeks_cols,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lockdown,is_covid19
2/21/2019,0.62785,0.584,5.65,-7.4628,0.4,0.077975,0.3499935,0.044385019,0.171285,0.53175,123.48015,0,0
2/28/2019,0.59945,0.558555,5.55,-8.47565,0.3,0.09163,0.3715135,0.087349441,0.15056,0.531465,121.8287,0,0
3/7/2019,0.5795,0.539355,6,-8.5518,0.35,0.07638,0.3994635,0.087349539,0.142705,0.499315,119.52315,0,0
3/14/2019,0.58915,0.506955,5.85,-9.0155,0.35,0.07683,0.4345935,0.087351525,0.16053,0.497115,115.56205,0,0
3/21/2019,0.62065,0.5451,5,-7.54895,0.4,0.07266,0.3426585,0.044375727,0.15126,0.5023,113.831,0,0
3/28/2019,0.60855,0.53035,4.95,-7.70275,0.3,0.072185,0.3691485,0.047185271,0.14808,0.48225,115.3252,0,0
4/4/2019,0.61825,0.54395,4.8,-7.326,0.3,0.071255,0.3591485,0.047175019,0.17547,0.4831,113.0924,0,0
4/11/2019,0.597578947,0.503526316,5.578947368,-7.978157895,0.263157895,0.0867,0.401440526,0.058119359,0.220289474,0.420368421,115.6139474,0,0
4/18/2019,0.64545,0.55215,4.7,-6.95335,0.25,0.088015,0.3467685,0.010913391,0.20383,0.4504,117.2973,0,0
5/16/2019,0.6201,0.552,4.85,-6.977,0.3,0.1007,0.36366,0.010912476,0.226395,0.4266,113.5305,0,0
5/23/2019,0.64935,0.5659,5.25,-7.02605,0.3,0.106715,0.35766,0.010912219,0.190535,0.445315,112.29405,0,0
5/30/2019,0.707,0.57275,5.65,-7.1474,0.4,0.120505,0.320055,0.014606462,0.209195,0.463665,118.25535,0,0
6/6/2019,0.7137,0.58665,6.65,-7.1865,0.45,0.109475,0.291876,0.021678629,0.16531,0.491665,116.5236,0,0
6/13/2019,0.68755,0.58695,6.75,-7.25125,0.45,0.095875,0.279471,0.021686629,0.17316,0.4951,118.8509,0,0
6/20/2019,0.6827,0.6129,6.55,-6.7068,0.45,0.083065,0.244386,0.013766614,0.176845,0.502,116.65805,0,0
6/27/2019,0.6816,0.60935,6,-7.08285,0.4,0.076395,0.223836,0.013772017,0.133315,0.49815,123.30585,0,0
7/4/2019,0.6808,0.6211,6,-6.8359,0.4,0.07796,0.236519,0.006772017,0.126365,0.5083,122.89695,0,0
7/11/2019,0.6497,0.6249,6.15,-6.8349,0.3,0.0805,0.273885,0.010174216,0.1257,0.48125,119.14495,0,0
7/18/2019,0.663526316,0.590684211,6.157894737,-7.193578947,0.315789474,0.069415789,0.280221053,0.037545807,0.152973684,0.490894737,118.2359474,0,0
7/25/2019,0.648789474,0.621842105,6.315789474,-7.089736842,0.315789474,0.065573684,0.211068421,0.040704353,0.167784211,0.500315789,116.0586316,0,0
8/1/2019,0.648789474,0.638789474,6.105263158,-6.629894737,0.315789474,0.047389474,0.199118947,0.069704353,0.179573684,0.502263158,114.1107368,0,0
8/8/2019,0.6315,0.641333333,6.388888889,-6.480555556,0.277777778,0.055644444,0.189108889,0.062354595,0.144522222,0.496388889,115.6066111,0,0
8/15/2019,0.612888889,0.621888889,6.111111111,-6.592222222,0.222222222,0.059855556,0.200353333,0.062354113,0.153988889,0.470388889,112.5104444,0,0
8/22/2019,0.619111111,0.611666667,5.666666667,-6.572833333,0.333333333,0.067211111,0.236147778,0.059112522,0.143122222,0.446444444,116.9002778,0,0
8/29/2019,0.617833333,0.583111111,5.833333333,-6.583222222,0.277777778,0.0644,0.239703333,0.055147741,0.142683333,0.445833333,121.5337222,0,0
9/5/2019,0.618444444,0.574333333,5.777777778,-6.755888889,0.277777778,0.062727778,0.222158889,0.055147811,0.154383333,0.460222222,119.4367222,0,0
9/12/2019,0.638166667,0.587777778,6.111111111,-6.612888889,0.333333333,0.061844444,0.221436667,0.055148333,0.146488889,0.465166667,115.7792778,0,0
9/19/2019,0.6605,0.5595,5.222222222,-6.639277778,0.277777778,0.0669,0.261814444,0.055045788,0.1238,0.466666667,122.2805,0,0
10/3/2019,0.6605,0.5595,5.222222222,-6.639277778,0.277777778,0.0669,0.261814444,0.055045788,0.1238,0.466666667,122.2805,0,0
10/10/2019,0.65,0.538578947,4.789473684,-6.661631579,0.368421053,0.0619,0.336914211,0.016340657,0.129310526,0.446421053,120.5070526,0,0
10/17/2019,0.665842105,0.534105263,4.894736842,-6.835263158,0.421052632,0.077368421,0.346124737,0.007656446,0.157731579,0.493789474,123.5297368,0,0
10/24/2019,0.664,0.531368421,5.052631579,-6.824894737,0.473684211,0.077084211,0.368756316,0.007656446,0.149468421,0.501684211,121.2176842,0,0
11/7/2019,0.66525,0.5391,4.15,-6.85285,0.4,0.060295,0.4077335,0.000134357,0.1467,0.5007,116.5509,0,0
11/14/2019,0.6622,0.56015,5.45,-6.28765,0.25,0.060365,0.3616185,0.00036294,0.121865,0.46325,116.68075,0,0
11/21/2019,0.649947368,0.567684211,6.368421053,-6.553421053,0.263157895,0.0591,0.347410526,0.024617956,0.149910526,0.497368421,116.1450526,0,0
11/28/2019,0.658421053,0.577736842,6.421052632,-6.504684211,0.263157895,0.058678947,0.340094737,0.025104798,0.143489474,0.510052632,115.3153158,0,0
12/5/2019,0.646411765,0.553411765,6.764705882,-7.316882353,0.470588235,0.0527,0.383931471,0.061934478,0.1475,0.456352941,108.6105294,0,0
12/12/2019,0.660210526,0.568052632,6.157894737,-7.506368421,0.473684211,0.061257895,0.342811105,0.055416417,0.221426316,0.452947368,108.6497895,0,0
12/19/2019,0.651666667,0.475733333,5.333333333,-9.920333333,0.444444444,0.120138889,0.419712389,0.09434105,0.205277778,0.4055,111.9448333,0,0
1/2/2020,0.67125,0.5058,6.1,-7.69975,0.3,0.074825,0.4275544,0.055893945,0.185995,0.452,110.72815,0,0
1/9/2020,0.661,0.513235294,6.411764706,-7.792764706,0.235294118,0.095547059,0.410399294,0.065760506,0.221211765,0.428,106.4411176,0,0
1/16/2020,0.650722222,0.498444444,5.5,-7.831055556,0.333333333,0.090755556,0.419969333,0.062030758,0.195527778,0.405555556,109.3147778,0,0
1/23/2020,0.644578947,0.499842105,5.473684211,-7.880105263,0.315789474,0.089057895,0.426497263,0.058772928,0.196184211,0.398842105,109.8778947,0,0
2/6/2020,0.657529412,0.519588235,5.705882353,-7.122588235,0.294117647,0.084388235,0.360588235,0.065670604,0.166576471,0.431941176,104.7092941,0,0
2/13/2020,0.648277778,0.528677778,5.888888889,-8.614555556,0.333333333,0.120344444,0.330736667,0.038092444,0.179477778,0.401666667,117.3739444,0,0
