weeks_cols,lockdown,is_covid19
2019-03-08,0,0
2019-03-15,0,0
2019-03-22,0,0
2019-03-29,0,0
2019-04-05,0,0
2019-04-12,0,0
2019-04-19,0,0
2019-04-26,0,0
2019-05-03,0,0
2019-05-10,0,0
2019-05-17,0,0
2019-05-24,0,0
2019-05-31,0,0
2019-06-07,0,0
2019-06-14,0,0
2019-06-21,0,0
2019-06-28,0,0
2019-07-05,0,0
2019-07-12,0,0
2019-07-19,0,0
2019-07-26,0,0
2019-08-02,0,0
2019-08-09,0,0
2019-08-16,0,0
2019-08-23,0,0
2019-08-30,0,0
2019-09-06,0,0
2019-09-13,0,0
2019-09-20,0,0
2019-09-27,0,0
2019-10-04,0,0
2019-10-11,0,0
2019-10-18,0,0
2019-10-25,0,0
2019-11-01,0,0
2019-11-08,0,0
2019-11-15,0,0
2019-11-22,0,0
2019-11-29,0,0
2019-12-06,0,0
2019-12-13,0,0
2019-12-20,0,0
2019-12-27,0,0
2020-01-03,0,0
2020-01-10,0,0
2020-01-17,0,0
2020-01-24,0,0
2020-01-31,0,0
2020-02-07,0,0
2020-02-14,0,0
2020-02-21,0,0
2020-02-28,0,0
2020-03-06,0,1
2020-03-13,0,1
2020-03-20,0,1
2020-03-27,1,1
2020-04-03,1,1
2020-04-10,1,1
2020-04-17,1,1
2020-04-24,0,1
2020-05-01,0,1
2020-05-08,0,1
2020-05-15,0,1
2020-05-22,0,1
2020-05-29,0,1
2020-06-05,0,1
2020-06-12,0,1
2020-06-19,0,1
2020-06-26,0,1
2020-07-03,0,1
2020-07-10,0,1
2020-07-17,0,1
2020-07-24,0,1
2020-07-31,0,1
2020-08-07,0,1
2020-08-14,0,1
2020-08-21,0,1
2020-08-28,0,1
2020-09-04,0,1
2020-09-11,0,1
2020-09-18,2,1
2020-09-25,2,1
2020-10-02,2,1
2020-10-09,0,1
2020-10-16,0,1
2020-10-23,0,1
2020-10-30,0,1
2020-11-06,0,1
2020-11-13,0,1
2020-11-20,0,1
2020-11-27,0,1
2020-12-04,0,1
2020-12-11,0,1
2020-12-18,0,1
2020-12-25,3,1
2021-01-01,3,1
2021-01-08,3,1
2021-01-15,3,1
2021-01-22,3,1
2021-01-29,3,1
2021-02-05,0,1
2021-02-12,0,1
2021-02-19,0,1
2021-02-26,0,1
