song_name,song_artist,week
bassa sababa,netta,2/21/2019
יאסו,"סטטיק, בן אל תבורי, עדן בן זקן, סטפן לגר",2/21/2019
סוודר,נוי פדלון,2/21/2019
באתי לחלום,נתן גושן,2/21/2019
קירות,איתי לוי,2/21/2019
הזוג הזה,מרגי,2/21/2019
תגידי לי שטוב לך,עומר אדם,2/21/2019
הלב שלי,ישי ריבו,2/21/2019
מה את מרגישה,עידן עמדי,2/21/2019
בנאדם,אמיר דדון,2/21/2019
rings,Ariana Grande,2/21/2019
high hopes,panic! at the disco,2/21/2019
sweet but psycho,ava max,2/21/2019
without me,halsey,2/21/2019
giant,"calvin harris, rag'n'bone man",2/21/2019
goca dunya,altin gun,2/21/2019
nothing breaks like a heart,"mark ronson, miley cyrus",2/21/2019
detstvo,rauf & faik,2/21/2019
mercy,"mo, two feet, what so not",2/21/2019
juice,lizzo,2/21/2019
bassa sababa,netta,2/28/2019
סוודר,נוי פדלון,2/28/2019
הלב שלי,ישי ריבו,2/28/2019
יאסו,"סטטיק, בן אל תבורי, עדן בן זקן, סטפן לגר",2/28/2019
באתי לחלום,נתן גושן,2/28/2019
הזוג הזה,מרגי,2/28/2019
Drum,נועה קירל,2/28/2019
מה את מרגישה,עידן עמדי,2/28/2019
קירות,איתי לוי,2/28/2019
Never Go Back,Dennis Lloyd,2/28/2019
rings,Ariana Grande,2/28/2019
sweet but psycho,ava max,2/28/2019
giant,"calvin harris, rag'n'bone man",2/28/2019
without me,halsey,2/28/2019
high hopes,panic! at the disco,2/28/2019
goca dunya,altin gun,2/28/2019
detstvo,rauf & faik,2/28/2019
swan song,dua lipa,2/28/2019
juice,lizzo,2/28/2019
Movement,Hozier,2/28/2019
bassa sababa,netta,3/7/2019
יאסו,"סטטיק, בן אל תבורי, עדן בן זקן, סטפן לגר",3/7/2019
הלב שלי,ישי ריבו,3/7/2019
סוודר,נוי פדלון,3/7/2019
הזוג הזה,מרגי,3/7/2019
Drum,נועה קירל,3/7/2019
Never Go Back,Dennis Lloyd,3/7/2019
באתי לחלום,נתן גושן,3/7/2019
מה את מרגישה,עידן עמדי,3/7/2019
מילים שהייתי אומר רק לך,ים רפאלי,3/7/2019
rings,Ariana Grande,3/7/2019
sweet but psycho,ava max,3/7/2019
giant,"calvin harris, rag'n'bone man",3/7/2019
without me,halsey,3/7/2019
high hopes,panic! at the disco,3/7/2019
detstvo,rauf & faik,3/7/2019
Movement,Hozier,3/7/2019
goca dunya,altin gun,3/7/2019
dancing with a stranger,"sam smith, normani",3/7/2019
swan song,dua lipa,3/7/2019
יאסו,"סטטיק, בן אל תבורי, עדן בן זקן, סטפן לגר",3/14/2019
הזוג הזה,מרגי,3/14/2019
Drum,נועה קירל,3/14/2019
bassa sababa,netta,3/14/2019
הלב שלי,ישי ריבו,3/14/2019
Never Go Back,Dennis Lloyd,3/14/2019
סוודר,נוי פדלון,3/14/2019
מילים שהייתי אומר רק לך,ים רפאלי,3/14/2019
וואלק,Full Trunk,3/14/2019
מה את מרגישה,עידן עמדי,3/14/2019
rings,Ariana Grande,3/14/2019
sweet but psycho,ava max,3/14/2019
without me,halsey,3/14/2019
detstvo,rauf & faik,3/14/2019
giant,"calvin harris, rag'n'bone man",3/14/2019
dancing with a stranger,"sam smith, normani",3/14/2019
When The Party's Over,Billie Eilish,3/14/2019
swan song,dua lipa,3/14/2019
goca dunya,altin gun,3/14/2019
movement,hozier,3/14/2019
הזוג הזה,מרגי,3/21/2019
הלב שלי,ישי ריבו,3/21/2019
Drum,נועה קירל,3/21/2019
Never Go Back,Dennis Lloyd,3/21/2019
יאסו,"סטטיק, בן אל תבורי, עדן בן זקן, וסטפן לגר",3/21/2019
וואלק,Full Trunk,3/21/2019
bassa sababa,netta,3/21/2019
home,kobi marimi,3/21/2019
מילים שהייתי אומר רק לך,ים רפאלי,3/21/2019
אוטובוס אחרון לחיפה,"עילי בוטנר, משי קלינשטיין",3/21/2019
rings,Ariana Grande,3/21/2019
detstvo,rauf & faik,3/21/2019
dancing with a stranger,"sam smith, normani",3/21/2019
giant,"calvin harris, rag'n'bone man",3/21/2019
con calma,daddy yankee,3/21/2019
When The Party's Over,Billie Eilish,3/21/2019
sweet but psycho,ava max,3/21/2019
without me,halsey,3/21/2019
three hearts,alex clare,3/21/2019
movement,hozier,3/21/2019
הזוג הזה,מרגי,3/28/2019
Drum,נועה קירל,3/28/2019
הלב שלי,ישי ריבו,3/28/2019
Never Go Back,Dennis Lloyd,3/28/2019
וואלק,Full Trunk,3/28/2019
יאסו,"סטטיק, בן אל תבורי, עדן בן זקן, וסטפן לגר",3/28/2019
תגיד לי Je T'aime,עדן בן זקן,3/28/2019
home,kobi marimi,3/28/2019
מילים שהייתי אומר רק לך,ים רפאלי,3/28/2019
אוטובוס אחרון לחיפה,"עילי בוטנר, משי קלינשטיין",3/28/2019
rings,Ariana Grande,3/28/2019
detstvo,rauf & faik,3/28/2019
dancing with a stranger,"sam smith, normani",3/28/2019
con calma,daddy yankee,3/28/2019
Sucker,Jonas Brothers,3/28/2019
Giant,"Calvin Harris, Rag'n'Bone Man",3/28/2019
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,3/28/2019
When The Party's Over,Billie Eilishwithout me - halsey,3/28/2019
three hearts,alex clare,3/28/2019
movement,hozier,3/28/2019
הזוג הזה,מרגי,4/4/2019
Drum,נועה קירל,4/4/2019
הלב שלי,ישי ריבו,4/4/2019
Never Go Back,Dennis Lloyd,4/4/2019
תגיד לי je t'aime,עדן בן זקן,4/4/2019
וואלק,full trunk,4/4/2019
מילים שהייתי אומר רק לך,ים רפאלי,4/4/2019
home,kobi marimi,4/4/2019
אוטובוס אחרון לחיפה,"עילי בוטנר, משי קלינשטיין",4/4/2019
עכשיו הלב פתוח,בניה ברבי,4/4/2019
Sucker,Jonas Brothers,4/4/2019
rings,Ariana Grande,4/4/2019
con calma,daddy yankee,4/4/2019
dancing with a stranger,"sam smith, normani",4/4/2019
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,4/4/2019
When The Party's Over,Billie Eilish,4/4/2019
detstvo,rauf & faik,4/4/2019
HP,Maluma,4/4/2019
Always Remember Us This Way,Lady Gaga,4/4/2019
three hearts,alex clare,4/4/2019
הלב שלי,ישי ריבו,4/11/2019
הזוג הזה,מרגי,4/11/2019
Drum,נועה קירל,4/11/2019
Never Go Back,Dennis Lloyd,4/11/2019
תגיד לי je t'aime,עדן בן זקן,4/11/2019
וואלק,full trunk,4/11/2019
עכשיו הלב פתוח,בניה ברבי,4/11/2019
מילים שהייתי אומר רק לך,ים רפאלי,4/11/2019
מתגעגעת,נתן גושן,4/11/2019
גלבי,נרקיס,4/11/2019
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,4/11/2019
dancing with a stranger,"sam smith, normani",4/11/2019
con calma,daddy yankee,4/11/2019
Always Remember Us This Way,Lady Gaga,4/11/2019
When The Party's Over,Billie Eilish,4/11/2019
HP,Maluma,4/11/2019
rings,Ariana Grande,4/11/2019
Bury a friend,Billie Eilish,4/11/2019
detstvo,rauf & faik,4/11/2019
הלב שלי,ישי ריבו,4/18/2019
הזוג הזה,מרגי,4/18/2019
Never Go Back,Dennis Lloyd,4/18/2019
תגיד לי je t'aime,עדן בן זקן,4/18/2019
עכשיו הלב פתוח,בניה ברבי,4/18/2019
מתגעגעת,נתן גושן,4/18/2019
Drum,נועה קירל,4/18/2019
עדן חסון,כפיות,4/18/2019
גלבי,נרקיס,4/18/2019
וואלק,Full Trunk,4/18/2019
con calma,daddy yankee,4/18/2019
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,4/18/2019
Sucker,Jonas Brothers,4/18/2019
Bury a friend,Billie Eilish,4/18/2019
Always Remember Us This Way,Lady Gaga,4/18/2019
HP,Maluma,4/18/2019
Old Town Road (remix),"Lil Nas X, Billy Ray Cyrus",4/18/2019
dancing with a stranger,"sam smith, normani",4/18/2019
365 ,"Katy Perry, Zedd",4/18/2019
When The Party's Over,Billie Eilish,4/18/2019
שבט אחים ואחיות,אמני ישראל,5/16/2019
מתגעגעת,נתן גושן,5/16/2019
כפיות,עדן חסון,5/16/2019
never go back,dennis lloyd,5/16/2019
ממה את מפחדת,"בניה ברבי, אייל גולן",5/16/2019
תגיד לי je t'aime,עדן בן זקן,5/16/2019
עכשיו הלב פתוח,בניה ברבי,5/16/2019
אנחנו,גיא מזיג,5/16/2019
בלילות,רותם כהן,5/16/2019
הלב שלי,ישי ריבו,5/16/2019
old town road (remix),"lil nas x, billy ray cyrus",5/16/2019
con calma,daddy yankee,5/16/2019
Bury a friend,Billie Eilish,5/16/2019
i don't care,"ed sheeran, justin bieber",5/16/2019
low key,"ally brooke, tyga",5/16/2019
Sucker,Jonas BrothersHP - Maluma,5/16/2019
365,"Katy Perry, Zedd",5/16/2019
Always Remember Us This Way,Lady Gaga,5/16/2019
medellin,"madonna, maluma",5/16/2019
jenny of oldstones,florence + the machine,5/16/2019
שבט אחים ואחיות,אמני ישראל,5/23/2019
ממה את מפחדת,"בניה ברבי, אייל גולן",5/23/2019
כפיות,עדן חסון,5/23/2019
בלילות,רותם כהן,5/23/2019
מתגעגעת,נתן גושן,5/23/2019
אנחנו,גיא מזיג,5/23/2019
never go back,dennis lloyd,5/23/2019
הוליווד,ג'ימבו ג'יי,5/23/2019
תגיד לי je t'aime,עדן בן זקן,5/23/2019
עכשיו הלב פתוח,בניה ברבי,5/23/2019
old town road (remix),"lil nas x, billy ray cyrus",5/23/2019
con calma,daddy yankee,5/23/2019
i don't care,"ed sheeran, justin bieber",5/23/2019
Bury a friend,Billie Eilish,5/23/2019
low key,"ally brooke, tyga",5/23/2019
365 ,"Katy Perry, Zedd",5/23/2019
Sucker,Jonas Brothers,5/23/2019
me!,"taylor swift, brendon urie",5/23/2019
medellin,"madonna, maluma",5/23/2019
jenny of oldstones,florence + the machine,5/23/2019
ממה את מפחדת,"בניה ברבי, אייל גולן",5/30/2019
שבט אחים ואחיות,אמני ישראל,5/30/2019
בלילות,רותם כהן,5/30/2019
כפיות,עדן חסון,5/30/2019
אנחנו,גיא מזיג,5/30/2019
יעשו לנו כבוד,עומר אדם,5/30/2019
nana banana,netta,5/30/2019
מתגעגעת,נתן גושן,5/30/2019
